section,b0,b1,b2,a0,a1,a2
0,3.9288600058023775e-09,7.8577200116047551e-09,3.9288600058023775e-09,1,-1.7704588458282278,0.81455414180361119
1,1,2,1,1,-1.7560798738903476,0.81890439887773503
2,1,2,1,1,-1.8169037526885266,0.84647771067312849
3,1,2,1,1,-1.7854945241078364,0.86639737923420923
4,1,-2,1,1,-1.8706640157457153,0.89192387632975001
5,1,-2,1,1,-1.9192677256751922,0.93654994016161541
6,1,-2,1,1,-1.8553182863691879,0.94947776857772115
7,1,-2,1,1,-1.9631065843800273,0.97892329136227585
