sample,taper0,taper1,taper2
0,0.00059039172805319131,0.0036371955243949634,0.013671460737748326
1,0.00060041708690106524,0.0036782619735127591,0.013757666372673781
2,0.00061052077393308367,0.0037195083209842915,0.013843915510605882
3,0.00062070305339456807,0.0037609343876347568,0.013930206197976556
4,0.0006309641890242198,0.0038025399894160861,0.014016536476526327
5,0.00064130444404678327,0.0038443249374005037,0.014102904383352809
6,0.00065172408116566936,0.0038862890377739778,0.01418930795095859
7,0.00066222336255562797,0.0039284320918301354,0.014275745207300541
8,0.00067280254985539701,0.0039707538959641662,0.01436221417583889
9,0.00068346190416034567,0.0040132542416668523,0.014448712875586444
10,0.00069420168601511513,0.0040559329155187163,0.01453523932115805
11,0.00070502215540624649,0.0040987896991842594,0.014621791522820079
12,0.0007159235717548308,0.0041418243694064487,0.014708367486540587
13,0.00072690619390912675,0.0041850366980011842,0.014794965214039136
14,0.00073797028013718234,0.0042284264518519087,0.014881582702836887
15,0.00074911608811946331,0.0042719933929044164,0.014968217946307136
16,0.00076034387494147736,0.0043157372781617688,0.015054868933725983
17,0.00077165389708637835,0.0043596578596792473,0.015141533650322848
18,0.00078304641042758658,0.0044037548845595178,0.015228210077331541
19,0.00079452167022139885,0.0044480280949478999,0.01531489619204135
20,0.00080607993109959729,0.0044924772280277459,0.015401589967848345
21,0.00081772144706205522,0.0045371020160159606,0.015488289374306838
22,0.00082944647146933727,0.004581902186158603,0.015574992377180937
23,0.00084125525703531096,0.00462687746072671,0.015661696938496547
24,0.00085314805581974257,0.004672027557012153,0.015748401016593243
25,0.00086512511922089282,0.004717352187323629,0.01583510256617638
26,0.00087718669796811935,0.0047628510589828327,0.015921799538369478
27,0.00088933304211447669,0.0048085238743207429,0.016008489880766797
28,0.00090156440102930632,0.0048543703306739728,0.01609517153748586
29,0.00091388102339083404,0.0049003901203813162,0.016181842449220336
30,0.00092628315717876606,0.0049465829307804021,0.016268500553293045
31,0.0009387710496668837,0.0049929484442044628,0.016355143783709114
32,0.00095134494741563728,0.0050394863379792532,0.016441770071209276
33,0.00096400509626473759,0.0050861962844200633,0.016528377343323287
34,0.0009767517413257576,0.0051330779508289136,0.016614963524423695
35,0.00098958512697472291,0.0051801309994918424,0.01670152653577954
36,0.0010025054968447057,0.0052273550876762989,0.016788064295610257
37,0.0010155130938184237,0.0052747498676287193,0.016874574719139827
38,0.0010286081600208413,0.0053223149865722266,0.016961055718651072
39,0.0010417909368117622,0.005370050086704407,0.017047505203539967
40,0.001055061664778431,0.0054179548051952716,0.01713392108037021
41,0.0010684205837281368,0.005466028774185323,0.017220301252927946
42,0.0010818679326808154,0.0055142716207837745,0.017306643622276584
43,0.0010954039498616544,0.0055626829670668643,0.017392946086811814
44,0.0011090288726936981,0.0056112624300763249,0.017479206542316654
45,0.0011227429377904628,0.0056600096218180048,0.017565422882016839
46,0.0011365463809485466,0.0057089241492605776,0.017651592996636181
47,0.0011504394371402397,0.0057580056143343994,0.017737714774452067
48,0.0011644223405061491,0.0058072536139305263,0.017823786101351241
49,0.001178495324347815,0.0058566677398998067,0.017909804860885524
50,0.0011926586211203347,0.0059062475790521672,0.01799576893432784
51,0.0012069124624249925,0.0059559927131559946,0.018081676200728279
52,0.0012212570790018889,0.0060059027189376651,0.01816752453697033
53,0.0012356927007225777,0.0060559771680812023,0.01825331181782722
54,0.0012502195565827037,0.0061062156272280619,0.018339035916018397
55,0.0012648378746946466,0.0061566176579770683,0.018424694702266129
56,0.0012795478822801639,0.0062071828168844562,0.018510286045352188
57,0.0012943498056630508,0.0062579106554640817,0.018595807812174781
58,0.0013092438702617924,0.0063088007201877357,0.018681257867805442
59,0.0013242303005822288,0.006359852552485625,0.018766634075546195
60,0.0013393093202102176,0.0064110656887469411,0.018851934296986696
61,0.0013544811518043101,0.0064624396603206102,0.018937156392061585
62,0.001369746017088429,0.0065139739935161541,0.01902229821910793
63,0.0013851041368445525,0.0065656682096046923,0.019107357634922783
64,0.0014005557309054032,0.006617521824820078,0.01919233249482084
65,0.0014161010181471449,0.0066695343503601727,0.019277220652692217
66,0.0014317402164820854,0.0067217052923882453,0.019362019961060333
67,0.0014474735428513822,0.0067740341520345091,0.019446728271139871
68,0.0014633012132177629,0.0068265204253978272,0.019531343432894928
69,0.0014792234425582437,0.0068791636035474956,0.019615863295097159
70,0.0014952404448568641,0.00693196317252522,0.019700285705384141
71,0.001511352433097417,0.0069849186133471792,0.019784608510317707
72,0.0015275596192561977,0.0070380294020062637,0.019868829555442471
73,0.0015438622142947564,0.0070912950094744335,0.01995294668534444
74,0.0015602604281526561,0.0071447149017052104,0.020036957743709689
75,0.0015767544697402433,0.0071982885396363163,0.020120860573383161
76,0.0015933445469314229,0.0072520153791924419,0.020204653016427526
77,0.0016100308665564431,0.0073058948712881521,0.020288332914182163
78,0.0016268136343946908,0.0073599264618309295,0.020371898107322216
79,0.0016436930551674892,0.0074141095917243495,0.020455346435917694
80,0.0016606693325309171,0.0074684436968714121,0.020538675739492768
81,0.0016777426690686226,0.0075229282081779886,0.020621883857085022
82,0.0016949132662846561,0.0075775625515564164,0.020704968627304872
83,0.0017121813245963124,0.0076323461479292322,0.020787927888395046
84,0.0017295470433269801,0.0076872784132330516,0.02087075947829016
85,0.0017470106206989985,0.0077423587584225561,0.020953461234676281
86,0.0017645722538265276,0.0077975865894746327,0.021036030995050647
87,0.0017822321387084325,0.0078529613073926863,0.021118466596781477
88,0.0017999904702211743,0.0079084823082110362,0.021200765877167821
89,0.0018178474421117075,0.0079641489829994881,0.021282926673499455
90,0.0018358032469903967,0.0080199607178680146,0.021364946823116845
91,0.0018538580763239421,0.0080759168939716006,0.02144682416347125
92,0.0018720121204283088,0.0081320168875152147,0.021528556532184794
93,0.0018902655684616822,0.0081882600697589149,0.021610141767110659
94,0.0019086186084174238,0.0082446458070231151,0.021691577706393371
95,0.0019270714271170397,0.0083011734606939468,0.021772862188529033
96,0.001945624210203166,0.0083578423872288071,0.021853993052425715
97,0.0019642771421325674,0.0084146519381620068,0.021934968137463855
98,0.0019830304061691376,0.0084716014601105838,0.022015785283556747
99,0.0020018841843769271,0.0085286902947802369,0.022096442331211021
100,0.0020208386576131762,0.008585917778971424,0.022176937121587279
101,0.0020398940055213633,0.0086432832445855583,0.022257267496560661
102,0.0020590504065242585,0.008700786018631371,0.022337431298781522
103,0.0020783080378170039,0.008758425423231412,0.022417426371736146
104,0.0020976670753602039,0.0088162007756286947,0.02249725055980754
105,0.0021171276938730188,0.0088741113881934432,0.022576901708336167
106,0.0021366900668262885,0.0089321565684300202,0.02265637766368082
107,0.0021563543664356549,0.0089903356189839773,0.022735676273279496
108,0.002176120763654716,0.0090486478376492398,0.022814795385710306
109,0.0021959894281681773,0.0091070925173754331,0.02289373285075242
110,0.0022159605283850318,0.0091656689462753464,0.022972486519447055
111,0.0022360342314317445,0.0092243764076325417,0.023051054244158445
112,0.0022562107031454609,0.0092832141799090995,0.023129433878634954
113,0.0022764901080672265,0.0093421815367534852,0.023207623278070071
114,0.0022968726094352251,0.0094012777470085934,0.023285620299163572
115,0.0023173583691780252,0.009460502074719877,0.023363422800182568
116,0.0023379475479078492,0.009519853779143661,0.023441028641022692
117,0.0023586403049138641,0.009579332114755576,0.023518435683269247
118,0.0023794367981554757,0.0096389363312591302,0.023595641790258373
