"RecordingID","EpochIndex","EpochStartSeconds","EpochEndSeconds","PredLabel","Confidence","ConsecutiveQualifyingNREM","Triggered","Reason","TtlMode","PulseWidthMs","CooldownRemainingSeconds","EventTimeUTC","SimulatedTtlOnTimeSeconds"
"realtime_demo_single_subject","159","316.000","318.000","Wake","0.999500","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","160","318.000","320.000","Wake","0.966784","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","161","320.000","322.000","Wake","0.921285","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","162","322.000","324.000","Wake","0.927223","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","163","324.000","326.000","Wake","0.983197","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","164","326.000","328.000","Wake","0.991260","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","165","328.000","330.000","Wake","0.998502","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","166","330.000","332.000","Wake","0.998865","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","167","332.000","334.000","Wake","0.990237","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","168","334.000","336.000","Wake","0.961724","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","169","336.000","338.000","Wake","0.718415","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","170","338.000","340.000","Wake","0.711631","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","171","340.000","342.000","Wake","0.843024","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","172","342.000","344.000","Wake","0.788008","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
"realtime_demo_single_subject","173","344.000","346.000","Wake","0.728196","0","False","insufficient_consecutive_nrem","dry-run","10.000","0.000","",""
