"RecordingID","EpochIndex","EpochStartSeconds","EpochEndSeconds","Status","WindowStartSample","WindowEndSample","SourceSampleRate","ProcessingSampleRate","ReplayEpochCloseSeconds","EpochAvailableSeconds","WallClockElapsedSeconds","DecisionWallTimeSeconds","InferenceLatencyMs","EndToEndLatencyMs","MissedDeadline","FeatureWindowSeconds","ModelProfile","RawCode","PredLabel","Confidence"
"realtime_demo_single_subject","43","84.000","86.000","scored","2400000","2580000","30000.000","1000.000","86.000","86.000","85.841552","85.841552","0.857900","0.859400","False","2.000","E2.0W3","2","Wake","0.990173"
"realtime_demo_single_subject","44","86.000","88.000","scored","2460000","2640000","30000.000","1000.000","88.000","88.000","87.839794","87.839794","0.776400","0.778300","False","2.000","E2.0W3","2","Wake","0.940277"
"realtime_demo_single_subject","45","88.000","90.000","scored","2520000","2700000","30000.000","1000.000","90.000","90.000","89.841628","89.841628","1.218600","1.220100","False","2.000","E2.0W3","2","Wake","0.763048"
"realtime_demo_single_subject","46","90.000","92.000","scored","2580000","2760000","30000.000","1000.000","92.000","92.000","91.840461","91.840461","0.982600","0.984600","False","2.000","E2.0W3","2","Wake","0.625898"
"realtime_demo_single_subject","47","92.000","94.000","scored","2640000","2820000","30000.000","1000.000","94.000","94.000","93.840580","93.840580","0.999000","1.001000","False","2.000","E2.0W3","1","REM","0.429843"
"realtime_demo_single_subject","48","94.000","96.000","scored","2700000","2880000","30000.000","1000.000","96.000","96.000","95.841225","95.841225","1.023700","1.025500","False","2.000","E2.0W3","2","Wake","0.705984"
"realtime_demo_single_subject","49","96.000","98.000","scored","2760000","2940000","30000.000","1000.000","98.000","98.000","97.841459","97.841459","0.728300","0.730000","False","2.000","E2.0W3","2","Wake","0.946076"
"realtime_demo_single_subject","50","98.000","100.000","scored","2820000","3000000","30000.000","1000.000","100.000","100.000","99.840244","99.840244","0.793900","0.795800","False","2.000","E2.0W3","2","Wake","0.995426"
"realtime_demo_single_subject","51","100.000","102.000","scored","2880000","3060000","30000.000","1000.000","102.000","102.000","101.841717","101.841717","0.800700","0.803100","False","2.000","E2.0W3","2","Wake","0.996138"
"realtime_demo_single_subject","52","102.000","104.000","scored","2940000","3120000","30000.000","1000.000","104.000","104.000","103.839616","103.839616","0.698600","0.700300","False","2.000","E2.0W3","2","Wake","0.993495"
"realtime_demo_single_subject","53","104.000","106.000","scored","3000000","3180000","30000.000","1000.000","106.000","106.000","105.839615","105.839615","0.674400","0.675700","False","2.000","E2.0W3","2","Wake","0.985171"
"realtime_demo_single_subject","54","106.000","108.000","scored","3060000","3240000","30000.000","1000.000","108.000","108.000","107.841789","107.841789","1.032700","1.033800","False","2.000","E2.0W3","2","Wake","0.931199"
"realtime_demo_single_subject","55","108.000","110.000","scored","3120000","3300000","30000.000","1000.000","110.000","110.000","109.839844","109.839844","0.740900","0.742700","False","2.000","E2.0W3","2","Wake","0.984805"
"realtime_demo_single_subject","56","110.000","112.000","scored","3180000","3360000","30000.000","1000.000","112.000","112.000","111.840949","111.840949","1.100500","1.102400","False","2.000","E2.0W3","2","Wake","0.701491"
"realtime_demo_single_subject","57","112.000","114.000","scored","3240000","3420000","30000.000","1000.000","114.000","114.000","113.840526","113.840526","0.936100","0.938300","False","2.000","E2.0W3","2","Wake","0.621814"
"realtime_demo_single_subject","58","114.000","116.000","scored","3300000","3480000","30000.000","1000.000","116.000","116.000","115.841726","115.841726","0.934700","0.936400","False","2.000","E2.0W3","1","REM","0.469064"
"realtime_demo_single_subject","59","116.000","118.000","scored","3360000","3540000","30000.000","1000.000","118.000","118.000","117.840528","117.840528","1.044300","1.046200","False","2.000","E2.0W3","2","Wake","0.522061"
"realtime_demo_single_subject","60","118.000","120.000","scored","3420000","3600000","30000.000","1000.000","120.000","120.000","119.840009","119.840009","0.759400","0.761000","False","2.000","E2.0W3","1","REM","0.495340"
"realtime_demo_single_subject","61","120.000","122.000","scored","3480000","3660000","30000.000","1000.000","122.000","122.000","121.839854","121.839854","0.813000","0.814800","False","2.000","E2.0W3","1","REM","0.606116"
"realtime_demo_single_subject","62","122.000","124.000","scored","3540000","3720000","30000.000","1000.000","124.000","124.000","123.840570","123.840570","0.869200","0.871000","False","2.000","E2.0W3","2","Wake","0.796588"
"realtime_demo_single_subject","63","124.000","126.000","scored","3600000","3780000","30000.000","1000.000","126.000","126.000","125.839799","125.839799","0.736100","0.738200","False","2.000","E2.0W3","2","Wake","0.958373"
"realtime_demo_single_subject","64","126.000","128.000","scored","3660000","3840000","30000.000","1000.000","128.000","128.000","127.841522","127.841522","0.934100","0.935700","False","2.000","E2.0W3","2","Wake","0.991171"
"realtime_demo_single_subject","65","128.000","130.000","scored","3720000","3900000","30000.000","1000.000","130.000","130.000","129.841069","129.841069","1.002100","1.005200","False","2.000","E2.0W3","2","Wake","0.995456"
"realtime_demo_single_subject","66","130.000","132.000","scored","3780000","3960000","30000.000","1000.000","132.000","132.000","131.840564","131.840564","0.851600","0.853600","False","2.000","E2.0W3","2","Wake","0.996459"
